ALL LEXEMES LIST:
lexeme = 'do', lexemeType = do, position = 2
lexeme = 'b', lexemeType = identifier, position = 3
lexeme = '=', lexemeType = assign, position = 5
lexeme = 'b', lexemeType = identifier, position = 7
lexeme = '*', lexemeType = arithmetic operation over, position = 9
lexeme = 'c', lexemeType = identifier, position = 11
lexeme = '*', lexemeType = arithmetic operation over, position = 13
lexeme = '2', lexemeType = constant, position = 15
lexeme = 'loop', lexemeType = loop, position = 21
lexeme = 'until', lexemeType = until, position = 27
lexeme = 'b', lexemeType = identifier, position = 28
lexeme = '>', lexemeType = logic operation, position = 30
lexeme = '12', lexemeType = constant, position = 33

ALL IDENTIFIERS LIST:
lexeme = 'b', lexemeType = identifier, position = 3
lexeme = 'b', lexemeType = identifier, position = 7
lexeme = 'c', lexemeType = identifier, position = 11
lexeme = 'b', lexemeType = identifier, position = 28

ALL CONSTANTS LIST:
lexeme = '2', lexemeType = constant, position = 15
lexeme = '12', lexemeType = constant, position = 33
